Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default",meta:specialk9_internal_id,meta:specialk9_source_url,meta:specialk9_seo_title,meta:specialk9_seo_description
simple,644622021144,,"1900x HandFree",1,1,visible,,"<details><summary>Descirpción</summary><section><p>El <strong>Dogtra 1900X Handsfree</strong> es un sistema avanzado de adiestramiento remoto que combina potencia, durabilidad y comodidad. Su innovador control <strong>Handsfree Square</strong> permite entrenar sin necesidad de sostener el transmisor en la mano, dándole al guía total libertad de movimiento.</p><p> Se pueden vincular hasta <strong>14 “Squares”</strong> (botones inalámbricos) y asignarlos a diferentes funciones: tono, luz, vibración o estimulación, e incluso a distintos perros.</p><p> Diseñado para perros grandes (más de 16 kg / 35 lbs), cuenta con un alcance de <strong>1,2 km (¾ de milla)</strong>, <strong>vibración XPP</strong>, <strong>luz LED</strong> para visibilidad, y construcción <strong>resistente IPX9K a prueba de agua</strong>.</p><p> Entrenamiento profesional, rediseñado.</p></section></details><details><summary>Características principales</summary><section><ul><li>Sistema de adiestramiento remoto <strong>Handsfree</strong></li><li> <strong>Botón central de comando</strong></li><li> Luz LED integrada en el collar</li><li> <strong>Tono audible</strong></li><li> <strong>Expansible hasta 3 perros</strong></li><li> Función <strong>Boost</strong> y <strong>Bloqueo de niveles</strong></li><li> Compatible con controles <strong>Handsfree Squares adicionales</strong></li><li> Carcasa doble reforzada para mayor durabilidad</li><li> Estimulación <strong>Nick</strong>, <strong>Continua</strong> y <strong>Vibración XPP</strong></li><li> Alcance de <strong>¾ de milla (aprox. 1,2 km)</strong></li><li> <strong>100 niveles de intensidad ajustable</strong></li><li> Clasificación <strong>IPX9K impermeable</strong></li></ul><ul><li> Incluye configuración para <strong>1 perro</strong> (modo programable)</li></ul></section></details><details><summary>Garantia</summary><section><p>Un mes de garantía por defectos de fábrica. Importante el mantenimiento y manejo correcto del producto para el cuál fue diseñado. Uso del cargador debe de ser exclusivo para este producto así como le expresa el manual instrucciones. Mordeduras, cortes y golpes no serán contemplados dentro de la garantía.</p><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.El producto debe estar en su estado original (caja y accesorios).<br></p><p>Se recomienda a los clientes registrar el producto en la pagina oficial de Dogtra lo más pronto posible después de hacer la compra.<strong>En caso de no registrar el producto necesitara mostrar el recibo u otra prueba de la compra para aplicar la garantía.</strong></p><p>Link para proceder con el registro de los productos: <a href=""https://dogtra.com/pages/product-registration"">https://dogtra.com/pages/product-registration</a></p></section></details>",taxable,,1,1,1,0,0,1.5,0.0,0.0,0.0,1,,,270000.00,E-Collars,,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795068062/5358870626.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795068062/5358870632.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795068062/5358840205.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795068062/5358840211.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795068062/5358840217.webp",,,,,,,,,17,,,,,,,,,,,,,,,,,795068062,https://www.specialk9.com/1900x-HandFree-p795068062,"1900x HandFree","Descirpción El Dogtra 1900X Handsfree es un sistema avanzado de adiestramiento remoto que combina potencia, durabilidad y comodidad. Su innovador control Handsfree Square permite entrenar sin necesidad de sostener el transmisor en la mano, dándole al guía total libertad de movimiento. Se pueden…"
simple,MLT-MGN-ACC,,"Accesorio de caja magnética para entrenamiento de olores",1,0,visible,,"<details><summary>Descripción</summary><section><p>El Accesorio Magnético para Impresión/Enfoque cuenta con un orificio para la nariz de 5 cm, ideal para imprimir olores y enfocar la mirada. Incluye una placa frontal con agujero de 5 cm y un divisor de olores para mayor seguridad, impidiendo que el perro alcance la fuente del olor. Este accesorio reemplaza la placa frontal original de la K9 OPS BOX, lo que le brinda dos usos versátiles. Los imanes han sido probados con 20 kg.</p><p>NOTA: Accesorio de orificio nasal funciona solo para caja magnética para entrenamiento de olores con medidas de 12 cm de largo x 12 cm de ancho x 5,7 cm de profundidad.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p></section></details><p><br></p>",taxable,,1,1,1,0,0,0.1,0.0,0.0,0.0,1,,,24500.00,"Detección, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/780693720/5160775817.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/780693720/5160775812.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/780693720/5160758988.jpg",,,,,"SD-46-47-48,R08C,A71",,,,,"K9 OPSBOX",,,,,,,,,,,,,,,,780693720,https://www.specialk9.com/Accesorio-de-caja-magnetica-para-entrenamiento-de-olores-p780693720,"Accesorio de caja magnética para entrenamiento de olores","Descripción El Accesorio Magnético para Impresión/Enfoque cuenta con un orificio para la nariz de 5 cm, ideal para imprimir olores y enfocar la mirada. Incluye una placa frontal con agujero de 5 cm y un divisor de olores para mayor seguridad, impidiendo que el perro alcance la fuente del olor. Este…"
variable,031,,"Agarre extraíble para arnés",1,0,visible,,"<details><summary>Descripción</summary><section><p>Agarre extraíble para arnés. El agarre extraíble tiene un accesorio incorporado en la parte posterior del mango para Luz Guardian K-9. El agarre se fija de forma fácil y segura al arnés.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p></section></details><p><br></p>",taxable,,,,,,0,0.075,0.0,0.0,0.0,1,,,,"Collares > Collar Nylon, Pecheras, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4553259128.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4553258820.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4566666744.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4566672965.jpg",,,,,"IDC,51541 57,51663 06 55,C05,16IDC-MM-,51112 57",,,,,"Elite K9",Color,"Coyote, Negro",1,0,,,,,,,,,,,,697533500,https://www.specialk9.com/Agarre-extraible-para-arnes-p697533500,"Agarre extraíble para arnés","Descripción Agarre extraíble para arnés. El agarre extraíble tiene un accesorio incorporado en la parte posterior del mango para Luz Guardian K-9. El agarre se fija de forma fácil y segura al arnés. Garantía Garantía por defectos de fábrica. Cortes y mordeduras no serán contemplados dentro de la…"
variation,H031,,"Agarre extraíble para arnés - Negro",1,,visible,,,taxable,parent,1,1,1,0,0,,,,,,,,16600.00,,,,,,,031,,,,,,,,Color,Negro,1,0,,,,,,,,,,,,697533500,,,
variation,MH0031,,"Agarre extraíble para arnés - Coyote",1,,visible,,,taxable,parent,1,1,1,0,0,,,,,,,,16600.00,,,,,,,031,,,,,,,,Color,Coyote,1,0,,,,,,,,,,,,697533500,,,
simple,INUK/INUPF-20,,"Alimento de Alto Rendimiento para Perros Inukshuk 32/32 – 20 kg",1,1,visible,,"<p>Alimento seco de alto rendimiento formulado para perros con altos niveles de actividad. Su fórmula 32/32 (32% proteína y 32% grasa) proporciona una fuente de energía concentrada, ideal para perros de trabajo, deporte o entrenamiento intensivo.</p><p>Elaborado con ingredientes de alta calidad como pollo y pescado, ofrece una nutrición completa, altamente digestible y rica en ácidos grasos Omega, contribuyendo al desarrollo muscular, resistencia y salud general del perro. </p><p>Su alta densidad calórica permite menores raciones sin comprometer el rendimiento, siendo una opción eficiente para condiciones exigentes. </p>",taxable,,1,,,0,0,20.0,0.0,0.0,0.0,1,,,67500.00,"Todos los Productos, Alimentos & Suplementos, Alimentos & Suplementos > Alimentación",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/823851693/5658650668.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/823851693/5658730474.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/823851693/5658730187.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/823851693/5658665506.webp",,,,,,,,,36,Inukshuk,,,,,,,,,,,,,,,,823851693,https://www.specialk9.com/Alimento-de-Alto-Rendimiento-para-Perros-Inukshuk-32-32-20-kg-p823851693,"Alimento de Alto Rendimiento para Perros Inukshuk 32/32 – 20 kg","Alimento seco de alto rendimiento formulado para perros con altos niveles de actividad. Su fórmula 32/32 (32% proteína y 32% grasa) proporciona una fuente de energía concentrada, ideal para perros de trabajo, deporte o entrenamiento intensivo. Elaborado con ingredientes de alta calidad como pollo y…"
variable,SD6,,"Almacenamiento Magnético",1,0,visible,,"<details><summary>Descripción</summary><section><p>La caja de almacenamiento magnética se utiliza para entrenar los olores. Llene la caja con el aroma de entrenamiento de su elección y fíjela en cualquier lugar sobre o debajo de un vehículo o cualquier otra cosa hecha de metal. Ahora cuentan con un acabado en powder coat.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</p></section></details><p><br></p>",taxable,,,,,,0,0.0,0.0,0.0,0.0,1,,,,"Detección, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695799509/4541171719.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695799509/4595096037.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695799509/4595094337.jpg",,,,,"SD-46-47-48,R08C,A71",,,,,"Elite K9",Tamaño,"5- 3/4"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo, 11-1/2"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo, 4.5"" Largo x 4.5"" Ancho x 2"" Profundo",1,0,,,,,,,,,,,,695799509,https://www.specialk9.com/Almacenamiento-Magnetico-p695799509,"Almacenamiento Magnético","Descripción La caja de almacenamiento magnética se utiliza para entrenar los olores. Llene la caja con el aroma de entrenamiento de su elección y fíjela en cualquier lugar sobre o debajo de un vehículo o cualquier otra cosa hecha de metal. Ahora cuentan con un acabado en powder coat. Garantía…"
variation,SD64,,"Almacenamiento Magnético - 4.5"" Largo x 4.5"" Ancho x 2"" Profundo",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,427000.00,,,,,,,SD6,,,,,,,,Tamaño,"4.5"" Largo x 4.5"" Ancho x 2"" Profundo",1,0,,,,,,,,,,,,695799509,,,
variation,SD68,,"Almacenamiento Magnético - 11-1/2"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo",1,,visible,,,taxable,parent,1,3,1,1,0,,,,,,,,42700.00,,,,,,,SD6,,,,,,,,Tamaño,"11-1/2"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo",1,0,,,,,,,,,,,,695799509,,,
variation,SD58,,"Almacenamiento Magnético - 5- 3/4"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,35000.00,,,,,,,SD6,,,,,,,,Tamaño,"5- 3/4"" Largo x 1-7/8"" Ancho x 1-1/4"" Profundo",1,0,,,,,,,,,,,,695799509,,,
